1,English,Negative,1,1,Library,Limited copies of required books.
2,English,Negative,1,1,EDP,EDP lines were too long during enrollment. 
3,English,Positive,2,2,Guidance/Counseling,Counselors were empathetic and available by appointment.
4,English,Negative,1,1,Clinic,Some medicines were unavailable.
5,English,Neutral,0,0,Guidance/Counseling,Scheduling required advance planning. 
6,English,Positive,2,2,Guidance/Counseling,Clear referral process for specialized support. 
7,English,Neutral,0,0,Clinic,Clinic service was adequate for basic needs. 
8,English,Positive,2,2,Guidance/Counseling,Counselors were empathetic and available by appointment.
9,English,Neutral,0,0,Clinic,Check-ups were short but sufficient. 
10,English,Neutral,0,0,Guidance/Counseling,Group sessions were fine for basics.
11,English,Positive,2,2,SAO,SAO organized student events well. 
12,English,Negative,1,1,Administration,Announcements came late and caused confusion. 
13,English,Positive,2,2,Clinic,Quick response to minor health concerns. 
14,English,Negative,1,1,Faculty,A few instructors read slides without engagement. 
15,English,Neutral,0,0,Clinic,Check-ups were short but sufficient.
16,English,Negative,1,1,SAO,SAO office was sometimes closed during posted hours. 
17,English,Neutral,0,0,SAO,Interactions were straightforward. 
18,English,Neutral,0,0,Library,Resources were basic but useful.
19,English,Positive,2,2,EDP,EDP services were reliable throughout my stay. 
20,English,Neutral,0,0,Guidance/Counseling,Scheduling required advance planning. 
21,English,Positive,2,2,Faculty,Feedback on outputs was timely and constructive. 
22,English,Negative,1,1,Laboratories,Some equipment was shared among too many sections. 
23,English,Neutral,0,0,Guidance/Counseling,Services existed if you reached out. 
24,English,Negative,1,1,Finance/Scholarships,Billing statements had occasional discrepancies. 
25,English,Neutral,0,0,Clinic,Clinic service was adequate for basic needs.
26,English,Negative,1,1,Guidance/Counseling,Some sessions felt too brief. 
27,English,Positive,2,2,Library,Extended hours during finals were a big help.
28,English,Negative,1,1,SAO,SAO office was sometimes closed during posted hours.
29,English,Positive,2,2,Finance/Scholarships,Tuition was affordable and payment plans helped. 
30,English,Neutral,0,0,Library,"Printing services worked, with occasional delays. "
31,English,Neutral,0,0,Administration,Queues varied depending on the time of day. 
32,English,Positive,2,2,Laboratories,Safety protocols were enforced well. 
33,English,Positive,2,2,EDP,EDP staff processed requests quickly and accurately. 
34,English,Negative,1,1,Finance/Scholarships,Queueing for payments took too long. 
35,English,Negative,1,1,EDP,Staff were sometimes unavailable for urgent fixes. 
36,English,Negative,1,1,Registrar,Queueing system needs improvementment.
37,English,Neutral,0,0,Laboratories,Supplies were enough for most experiments. 
38,English,Neutral,0,0,Finance/Scholarships,Refunds took time but were processed. 
39,English,Positive,2,2,Administration,Admin staff were responsive during deadlines. 
40,English,Negative,1,1,Library,Aircon and seating were not enough during peak days. 
41,English,Negative,1,1,Guidance/Counseling,Some sessions felt too brief.
42,English,Positive,2,2,Library,E-resources were accessible off-campus. 
43,English,Neutral,0,0,SAO,Interactions were straightforward. 
44,English,Positive,2,2,Administration,Processing time improvementd compared to previous years. 
45,English,Positive,2,2,Faculty,Feedback on outputs was timely and constructive. 
46,English,Negative,1,1,Clinic,Limited operating hours for the clinic. 
47,English,Neutral,0,0,Registrar,Processing time varied by month. 
48,English,Positive,2,2,Registrar,Staff guided me through clearance with patience. 
49,English,Neutral,0,0,Laboratories,Scheduling was tight but workable. 
50,English,Neutral,0,0,Library,"Printing services worked, with occasional delays."
51,English,Negative,1,1,Administration,Some offices were understaffed during peak periods. 
52,English,Negative,1,1,Finance/Scholarships,Billing statements had occasional discrepancies. 
53,English,Positive,2,2,Clinic,Quick response to minor health concerns. 
54,English,Negative,1,1,EDP,Staff were sometimes unavailable for urgent fixes. 
55,English,Negative,1,1,SAO,SAO office was sometimes closed during posted hours.
56,English,Negative,1,1,SAO,Slow processing of event permits. 
57,English,Neutral,0,0,Library,Library rules were enforced fairly. 
58,English,Negative,1,1,EDP,EDP lines were too long during enrollment. 
59,English,Positive,2,2,Library,Extended hours during finals were a big help. 
60,English,Neutral,0,0,Finance/Scholarships,Refunds took time but were processed.
61,English,Positive,2,2,Registrar,Staff guided me through clearance with patience. 
62,English,Negative,1,1,Registrar,Queueing system needs improvementment.
63,English,Negative,1,1,Administration,Paperwork was slow and required multiple follow-ups. 
64,English,Negative,1,1,Library,Catalog search was sometimes down.
65,English,Neutral,0,0,Laboratories,Supplies were enough for most experiments.
66,English,Neutral,0,0,Guidance/Counseling,Group sessions were fine for basics. 
67,English,Neutral,0,0,Clinic,Clinic service was adequate for basic needs. 
68,English,Negative,1,1,Administration,Announcements came late and caused confusion. 
69,English,Negative,1,1,Library,Catalog search was sometimes down. 
70,English,Positive,2,2,Clinic,Quick response to minor health concerns.
71,English,Neutral,0,0,Clinic,Clinic service was adequate for basic needs. 
72,English,Negative,1,1,EDP,EDP lines were too long during enrollment. 
73,English,Neutral,0,0,Registrar,Processing time varied by month.
74,English,Positive,2,2,Administration,Processing time improvementd compared to previous years.
75,English,Neutral,0,0,EDP,EDP performance was generally consistent. 
76,English,Negative,1,1,Faculty,Office hours were hard to catch.
77,English,Positive,2,2,Laboratories,lab sup were approachable and knowledgeable. 
78,English,Neutral,0,0,Faculty,"Teaching quality varied, but most were competent. "
79,English,Negative,1,1,SAO,Slow processing of event permits. 
80,English,Neutral,0,0,Laboratories,Supplies were enough for most experiments. 
81,English,Positive,2,2,Finance/Scholarships,Scholarship office was supportive and fair. 
82,English,Positive,2,2,EDP,System updates were timely and reduced errors. 
83,English,Negative,1,1,Clinic,Small space made it crowded at times.
84,English,Negative,1,1,Library,Catalog search was sometimes down.
85,English,Positive,2,2,Clinic,Quick response to minor health concerns.
86,English,Positive,2,2,Laboratories,Safety protocols were enforced well.
87,English,Neutral,0,0,Clinic,Location was convenient within campus.
88,English,Positive,2,2,SAO,SAO organized student events well.
89,English,Positive,2,2,Registrar,Staff guided me through clearance with patience. 
90,English,Negative,1,1,Laboratories,Aircon was inconsistent in certain labs.
91,English,Positive,2,2,Registrar,Transcript requests were processed faster than expected. 
92,English,Negative,1,1,SAO,SAO office was sometimes closed during posted hours. 
93,English,Negative,1,1,Clinic,Limited operating hours for the clinic.
94,English,Neutral,0,0,Finance/Scholarships,Fees were expected and comparable to peers. 
95,English,Negative,1,1,Library,Catalog search was sometimes down. 
96,English,Neutral,0,0,Administration,Most forms were available but required signatures across offices. 
97,English,Neutral,0,0,Library,Library rules were enforced fairly. 
98,English,Positive,2,2,Clinic,Clinic staff were caring and professional. 
99,English,Positive,2,2,Registrar,Clear checklist reduced back-and-forth. 
100,English,Positive,2,2,EDP,EDP services were reliable throughout my stay. 
101,English,Neutral,0,0,Administration,"Processes were standard; not fast, not too slow."
102,English,Positive,2,2,EDP,EDP staff processed requests quickly and accurately. 
103,English,Negative,1,1,Library,Catalog search was sometimes down.
104,English,Negative,1,1,Registrar,Document release took longer than the posted timeline. 
105,English,Neutral,0,0,Registrar,Email replies were concise but short. 
106,English,Neutral,0,0,SAO,Approvals took varying times. 
107,English,Positive,2,2,Guidance/Counseling,Clear referral process for specialized support. 
108,English,Positive,2,2,Faculty,Feedback on outputs was timely and constructive. 
109,English,Neutral,0,0,Guidance/Counseling,Services existed if you reached out.
110,English,Negative,1,1,Guidance/Counseling,Some sessions felt too brief.
111,English,Neutral,0,0,Library,Resources were basic but useful. 
112,English,Positive,2,2,Clinic,Quick response to minor health concerns.
113,English,Positive,2,2,Registrar,Staff guided me through clearance with patience.
114,English,Negative,1,1,Faculty,Office hours were hard to catch.
115,English,Neutral,0,0,Guidance/Counseling,Scheduling required advance planning. 
116,English,Neutral,0,0,Registrar,Processing time varied by month. 
117,English,Neutral,0,0,Administration,Queues varied depending on the time of day. 
